datetime,demand_0,demand_1,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9
2013-01-01 00:00:00,1562.68,1149.68,1410.49,731.59,2417.19,1050.3,1679.94,1322.53,1683.72,2976.6,1055.4,1917.64,1519.07,1275.25,3270.36,3581.8,1243.73,1343.83,2014.9,1549.13
2013-01-01 01:00:00,1499.58,1103.25,1353.53,702.05,2319.58,1007.89,1612.1,1269.13,1615.73,2856.41,1012.79,1840.21,1457.73,1223.76,3138.31,3437.17,1193.51,1289.57,1933.54,1486.58
2013-01-01 02:00:00,1439.64,1059.15,1299.43,673.99,2226.86,967.6,1547.66,1218.4,1551.14,2742.23,972.3,1766.65,1399.46,1174.84,3012.86,3299.78,1145.8,1238.02,1856.25,1427.15
2013-01-01 03:00:00,1417.45,1042.83,1279.4,663.6,2192.54,952.69,1523.81,1199.62,1527.24,2699.96,957.32,1739.42,1377.89,1156.73,2966.43,3248.92,1128.14,1218.94,1827.64,1405.16
2013-01-01 04:00:00,1392.95,1024.8,1257.28,652.13,2154.64,936.22,1497.47,1178.88,1500.84,2653.29,940.77,1709.35,1354.08,1136.74,2915.15,3192.76,1108.64,1197.87,1796.05,1380.87
2013-01-01 05:00:00,1321.62,972.33,1192.9,618.74,2044.31,888.28,1420.79,1118.52,1423.99,2517.43,892.6,1621.82,1284.74,1078.53,2765.88,3029.27,1051.87,1136.53,1704.08,1310.16
2013-01-01 06:00:00,1318.2,969.81,1189.81,617.13,2039.02,885.98,1417.11,1115.62,1420.3,2510.91,890.28,1617.62,1281.41,1075.73,2758.71,3021.42,1049.15,1133.59,1699.67,1306.77
2013-01-01 07:00:00,1352.44,995.0,1220.72,633.16,2091.98,908.99,1453.92,1144.6,1457.19,2576.13,913.41,1659.64,1314.7,1103.68,2830.37,3099.91,1076.4,1163.03,1743.81,1340.71
2013-01-01 08:00:00,1449.47,1066.38,1308.3,678.59,2242.07,974.21,1558.23,1226.71,1561.73,2760.95,978.94,1778.71,1409.02,1182.86,3033.43,3322.3,1153.62,1246.47,1868.92,1436.9
2013-01-01 09:00:00,1565.93,1152.06,1413.42,733.11,2422.21,1052.48,1683.43,1325.28,1687.21,2982.78,1057.6,1921.62,1522.23,1277.9,3277.16,3589.24,1246.31,1346.62,2019.08,1552.35
2013-01-01 10:00:00,1704.31,1253.87,1538.32,797.9,2636.26,1145.49,1832.19,1442.39,1836.32,3246.37,1151.06,2091.44,1656.75,1390.83,3566.77,3906.43,1356.45,1465.63,2197.51,1689.53
2013-01-01 11:00:00,1765.95,1299.22,1593.95,826.75,2731.6,1186.92,1898.45,1494.55,1902.72,3363.77,1192.68,2167.07,1716.66,1441.12,3695.75,4047.69,1405.5,1518.63,2276.98,1750.63
2013-01-01 12:00:00,1768.04,1300.75,1595.84,827.73,2734.83,1188.32,1900.7,1496.32,1904.97,3367.75,1194.09,2169.64,1718.69,1442.83,3700.12,4052.48,1407.17,1520.43,2279.68,1752.7
2013-01-01 13:00:00,1766.08,1299.32,1594.07,826.81,2731.8,1187.01,1898.59,1494.67,1902.86,3364.02,1192.77,2167.23,1716.79,1441.23,3696.03,4048.0,1405.61,1518.74,2277.15,1750.76
2013-01-01 14:00:00,1792.4,1318.68,1617.83,839.14,2772.52,1204.7,1926.89,1516.95,1931.23,3414.17,1210.55,2199.54,1742.38,1462.72,3751.12,4108.34,1426.56,1541.38,2311.1,1776.86
2013-01-01 15:00:00,1886.23,1387.71,1702.52,883.06,2917.66,1267.76,2027.76,1596.35,2032.32,3592.89,1273.92,2314.68,1833.59,1539.28,3947.48,4323.4,1501.24,1622.07,2432.08,1869.87
2013-01-01 16:00:00,2027.15,1491.39,1829.71,949.04,3135.63,1362.47,2179.25,1715.62,2184.16,3861.31,1369.09,2487.6,1970.57,1654.28,4242.39,4646.39,1613.39,1743.25,2613.77,2009.57
2013-01-01 17:00:00,2086.47,1535.03,1883.26,976.81,3227.39,1402.34,2243.02,1765.82,2248.07,3974.3,1409.16,2560.4,2028.24,1702.69,4366.54,4782.36,1660.6,1794.26,2690.26,2068.37
2013-01-01 18:00:00,2042.76,1502.87,1843.8,956.34,3159.77,1372.96,2196.03,1728.83,2200.97,3891.04,1379.63,2506.76,1985.75,1667.02,4275.06,4682.17,1625.82,1756.67,2633.9,2025.04
2013-01-01 19:00:00,1956.85,1439.66,1766.26,916.12,3026.89,1315.22,2103.67,1656.12,2108.41,3727.4,1321.61,2401.33,1902.23,1596.91,4095.26,4485.25,1557.44,1682.79,2523.12,1939.87
2013-01-01 20:00:00,1911.18,1406.07,1725.04,894.74,2956.24,1284.53,2054.58,1617.47,2059.2,3640.41,1290.77,2345.29,1857.84,1559.64,3999.69,4380.58,1521.09,1643.52,2464.24,1894.6
2013-01-01 21:00:00,1907.75,1403.55,1721.95,893.14,2950.95,1282.23,2050.9,1614.57,2055.51,3633.88,1288.46,2341.09,1854.51,1556.85,3992.52,4372.73,1518.37,1640.58,2459.83,1891.2
2013-01-01 22:00:00,1763.06,1297.09,1591.34,825.4,2727.13,1184.97,1895.34,1492.11,1899.61,3358.26,1190.73,2163.52,1713.85,1438.76,3689.7,4041.07,1403.2,1516.14,2273.25,1747.76
2013-01-01 23:00:00,1630.01,1199.21,1471.25,763.11,2521.33,1095.55,1752.31,1379.51,1756.25,3104.84,1100.87,2000.26,1584.52,1330.19,3411.26,3736.11,1297.31,1401.73,2101.71,1615.87
2013-01-02 00:00:00,1547.25,1138.32,1396.56,724.37,2393.32,1039.93,1663.35,1309.47,1667.09,2947.21,1044.98,1898.7,1504.07,1262.66,3238.07,3546.43,1231.45,1330.56,1995.0,1533.83
2013-01-02 01:00:00,1517.55,1116.47,1369.75,710.46,2347.37,1019.97,1631.41,1284.33,1635.09,2890.62,1024.92,1862.25,1475.2,1238.42,3175.91,3478.35,1207.81,1305.02,1956.7,1504.39
2013-01-02 02:00:00,1523.6,1120.92,1375.21,713.29,2356.73,1024.03,1637.92,1289.45,1641.6,2902.14,1029.0,1869.67,1481.08,1243.35,3188.56,3492.21,1212.62,1310.22,1964.5,1510.38
2013-01-02 03:00:00,1564.33,1150.89,1411.97,732.36,2419.73,1051.41,1681.7,1323.92,1685.49,2979.73,1056.51,1919.66,1520.67,1276.59,3273.81,3585.57,1245.04,1345.25,2017.02,1550.76
2013-01-02 04:00:00,1652.33,1215.63,1491.4,773.56,2555.86,1110.55,1776.31,1398.4,1780.31,3147.36,1115.95,2027.65,1606.22,1348.41,3457.98,3787.28,1315.08,1420.93,2130.49,1638.0
2013-01-02 05:00:00,1860.4,1368.7,1679.2,870.97,2877.69,1250.4,1999.99,1574.49,2004.49,3543.68,1256.47,2282.97,1808.47,1518.2,3893.41,4264.18,1480.67,1599.85,2398.76,1844.26
2013-01-02 06:00:00,2092.96,1539.8,1889.12,979.85,3237.43,1406.71,2250.0,1771.31,2255.06,3986.67,1413.54,2568.37,2034.55,1707.99,4380.12,4797.24,1665.77,1799.85,2698.63,2074.81
2013-01-02 07:00:00,2245.84,1652.28,2027.11,1051.42,3473.91,1509.46,2414.35,1900.7,2419.79,4277.87,1516.79,2755.97,2183.16,1832.75,4700.07,5147.65,1787.45,1931.32,2895.75,2226.36
2013-01-02 08:00:00,2308.05,1698.05,2083.26,1080.55,3570.14,1551.27,2481.23,1953.35,2486.81,4396.37,1558.81,2832.31,2243.64,1883.52,4830.26,5290.25,1836.96,1984.81,2975.96,2288.03
2013-01-02 09:00:00,2375.38,1747.58,2144.02,1112.06,3674.28,1596.52,2553.61,2010.33,2559.35,4524.61,1604.28,2914.93,2309.08,1938.46,4971.16,5444.56,1890.54,2042.71,3062.77,2354.77
2013-01-02 10:00:00,2435.1,1791.52,2197.93,1140.02,3766.65,1636.66,2617.81,2060.87,2623.7,4638.37,1644.61,2988.21,2367.14,1987.19,5096.14,5581.44,1938.07,2094.07,3139.77,2413.97
