,technology,max_power,min_power,fuel_type,additional_cost,efficiency,start_up_cost,shut_down_cost,EE_region,emission_factor,bidding_EOM,unit_operator
OCGT_00,combined cycle gas turbine,975,0,natural gas,64.6839512195122,0.30585060033717415,0.0,0.0,0,0.198,naive_eom,eom_operator
OCGT_01,combined cycle gas turbine,94,0,natural gas,64.6839512195122,0.31352452281925786,0.0,0.0,1,0.198,naive_eom,eom_operator
OCGT_02,combined cycle gas turbine,926,0,natural gas,64.6839512195122,0.3229927975682179,0.0,0.0,2,0.198,naive_eom,eom_operator
OCGT_03,combined cycle gas turbine,860,0,natural gas,64.6839512195122,0.3713617703130565,0.0,0.0,3,0.198,naive_eom,eom_operator
OCGT_04,combined cycle gas turbine,1354,0,natural gas,64.6839512195122,0.3753277645904922,0.0,0.0,4,0.198,naive_eom,eom_operator
OCGT_05,combined cycle gas turbine,1099,0,natural gas,64.6839512195122,0.5523475629088659,0.0,0.0,5,0.198,naive_eom,eom_operator
OCGT_06,combined cycle gas turbine,904,0,natural gas,64.6839512195122,0.32455029510291455,0.0,0.0,6,0.198,naive_eom,eom_operator
OCGT_07,combined cycle gas turbine,1060,0,natural gas,64.6839512195122,0.5795770520712267,0.0,0.0,7,0.198,naive_eom,eom_operator
OCGT_08,combined cycle gas turbine,961,0,natural gas,64.6839512195122,0.5308319419425237,0.0,0.0,8,0.198,naive_eom,eom_operator
OCGT_09,combined cycle gas turbine,239,0,natural gas,64.6839512195122,0.480946513018802,0.0,0.0,9,0.198,naive_eom,eom_operator
OCGT_10,combined cycle gas turbine,1005,0,natural gas,64.6839512195122,0.45741606421703385,0.0,0.0,10,0.198,naive_eom,eom_operator
OCGT_11,combined cycle gas turbine,936,0,natural gas,64.6839512195122,0.3889131725887657,0.0,0.0,11,0.198,naive_eom,eom_operator
OCGT_13,combined cycle gas turbine,911,0,natural gas,64.6839512195122,0.4912985753748732,0.0,0.0,13,0.198,naive_eom,eom_operator
OCGT_14,combined cycle gas turbine,1279,0,natural gas,64.6839512195122,0.49572886668285565,0.0,0.0,14,0.198,naive_eom,eom_operator
OCGT_15,combined cycle gas turbine,1363,0,natural gas,64.6839512195122,0.4841894983851356,0.0,0.0,15,0.198,naive_eom,eom_operator
OCGT_16,combined cycle gas turbine,137,0,natural gas,64.6839512195122,0.5990866893863821,0.0,0.0,16,0.198,naive_eom,eom_operator
OCGT_17,combined cycle gas turbine,343,0,natural gas,64.6839512195122,0.5235712103647825,0.0,0.0,17,0.198,naive_eom,eom_operator
OCGT_18,combined cycle gas turbine,375,0,natural gas,64.6839512195122,0.47475716914434385,0.0,0.0,18,0.198,naive_eom,eom_operator
OCGT_19,combined cycle gas turbine,1084,0,natural gas,64.6839512195122,0.5637486878003788,0.0,0.0,19,0.198,naive_eom,eom_operator
solar_00,solar_0,4931,0,renewable,0.01,1.0,0.0,0.0,0,0.0,naive_eom,eom_operator
solar_03,solar_3,3327,0,renewable,0.01,1.0,0.0,0.0,3,0.0,naive_eom,eom_operator
solar_06,solar_6,3815,0,renewable,0.01,1.0,0.0,0.0,6,0.0,naive_eom,eom_operator
solar_07,solar_7,3895,0,renewable,0.01,1.0,0.0,0.0,7,0.0,naive_eom,eom_operator
solar_09,solar_9,2554,0,renewable,0.01,1.0,0.0,0.0,9,0.0,naive_eom,eom_operator
solar_10,solar_10,8221,0,renewable,0.01,1.0,0.0,0.0,10,0.0,naive_eom,eom_operator
solar_13,solar_13,4694,0,renewable,0.01,1.0,0.0,0.0,13,0.0,naive_eom,eom_operator
solar_15,solar_15,2595,0,renewable,0.01,1.0,0.0,0.0,15,0.0,naive_eom,eom_operator
solar_18,solar_18,1614,0,renewable,0.01,1.0,0.0,0.0,18,0.0,naive_eom,eom_operator
wind_offshore_02,wind_offshore_2,2075,0,renewable,0.015,1.0,0.0,0.0,2,0.0,naive_eom,eom_operator
wind_offshore_08,wind_offshore_8,2016,0,renewable,0.014999999999999998,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
wind_offshore_10,wind_offshore_10,1980,0,renewable,0.015,1.0,0.0,0.0,10,0.0,naive_eom,eom_operator
wind_offshore_11,wind_offshore_11,1715,0,renewable,0.015,1.0,0.0,0.0,11,0.0,naive_eom,eom_operator
wind_onshore_00,wind_onshore_0,4830,0,renewable,0.015,1.0,0.0,0.0,0,0.0,naive_eom,eom_operator
wind_onshore_01,wind_onshore_1,319,0,renewable,0.015,1.0,0.0,0.0,1,0.0,naive_eom,eom_operator
